category,date,downloads
with_mirrors,2026-05-07,409
with_mirrors,2026-05-08,70
with_mirrors,2026-05-09,34
with_mirrors,2026-05-10,8
with_mirrors,2026-05-11,22
with_mirrors,2026-05-12,35
with_mirrors,2026-05-13,11
with_mirrors,2026-05-14,29
with_mirrors,2026-05-15,21
with_mirrors,2026-05-16,8
with_mirrors,2026-05-17,12
with_mirrors,2026-05-18,22
with_mirrors,2026-05-19,4
without_mirrors,2026-05-07,177
without_mirrors,2026-05-08,10
without_mirrors,2026-05-09,11
without_mirrors,2026-05-10,2
without_mirrors,2026-05-11,2
without_mirrors,2026-05-12,16
without_mirrors,2026-05-13,3
without_mirrors,2026-05-14,16
without_mirrors,2026-05-15,8
without_mirrors,2026-05-16,4
without_mirrors,2026-05-17,4
without_mirrors,2026-05-18,14
