category,date,downloads
Darwin,2026-05-07,8
Darwin,2026-05-12,4
Darwin,2026-05-20,4
Darwin,2026-05-22,2
Linux,2026-05-07,30
Linux,2026-05-15,2
Linux,2026-05-20,24
Linux,2026-05-21,8
null,2026-05-07,139
null,2026-05-08,10
null,2026-05-09,11
null,2026-05-10,2
null,2026-05-11,2
null,2026-05-12,12
null,2026-05-13,3
null,2026-05-14,16
null,2026-05-15,6
null,2026-05-16,4
null,2026-05-17,4
null,2026-05-18,14
null,2026-05-20,88
null,2026-05-21,3
null,2026-05-22,4
null,2026-05-23,1
null,2026-05-24,4
