category,date,downloads
3.10,2026-05-07,20
3.10,2026-05-20,9
3.11,2026-05-07,6
3.11,2026-05-12,4
3.11,2026-05-15,2
3.11,2026-05-20,5
3.11,2026-05-22,2
3.11,2026-05-29,2
3.12,2026-05-07,10
3.12,2026-05-20,12
3.12,2026-05-21,8
3.13,2026-05-07,2
3.13,2026-05-20,2
null,2026-05-07,139
null,2026-05-08,10
null,2026-05-09,11
null,2026-05-10,2
null,2026-05-11,2
null,2026-05-12,12
null,2026-05-13,3
null,2026-05-14,16
null,2026-05-15,6
null,2026-05-16,4
null,2026-05-17,4
null,2026-05-18,14
null,2026-05-20,88
null,2026-05-21,3
null,2026-05-22,4
null,2026-05-23,1
null,2026-05-24,4
null,2026-05-25,33
null,2026-05-26,10
null,2026-05-27,4
null,2026-05-28,4
null,2026-05-29,1
null,2026-05-30,2
