category,date,downloads
3,2026-05-07,38
3,2026-05-12,4
3,2026-05-15,2
3,2026-05-20,28
3,2026-05-21,8
3,2026-05-22,2
3,2026-05-29,2
3,2026-06-07,3
3,2026-06-10,2
3,2026-06-17,2
3,2026-06-18,2
3,2026-06-22,4
3,2026-06-24,2
3,2026-07-05,3
3,2026-07-11,2
3,2026-07-14,2
null,2026-05-07,139
null,2026-05-08,10
null,2026-05-09,11
null,2026-05-10,2
null,2026-05-11,2
null,2026-05-12,12
null,2026-05-13,3
null,2026-05-14,16
null,2026-05-15,6
null,2026-05-16,4
null,2026-05-17,4
null,2026-05-18,14
null,2026-05-20,88
null,2026-05-21,3
null,2026-05-22,4
null,2026-05-23,1
null,2026-05-24,4
null,2026-05-25,33
null,2026-05-26,10
null,2026-05-27,4
null,2026-05-28,4
null,2026-05-29,1
null,2026-05-30,2
null,2026-06-01,1
null,2026-06-02,9
null,2026-06-03,2
null,2026-06-04,1
null,2026-06-05,15
null,2026-06-06,30
null,2026-06-07,9
null,2026-06-08,7
null,2026-06-09,2
null,2026-06-10,10
null,2026-06-11,7
null,2026-06-12,1
null,2026-06-13,11
null,2026-06-14,5
null,2026-06-15,1
null,2026-06-16,10
null,2026-06-17,3
null,2026-06-18,9
null,2026-06-20,2
null,2026-06-21,4
null,2026-06-22,1
null,2026-06-23,5
null,2026-06-24,8
null,2026-06-25,12
null,2026-06-26,2
null,2026-06-27,4
null,2026-06-28,3
null,2026-06-29,3
null,2026-06-30,8
null,2026-07-03,6
null,2026-07-07,3
null,2026-07-09,1
null,2026-07-13,3
null,2026-07-14,1
null,2026-07-15,3
null,2026-07-17,1
null,2026-07-18,8
null,2026-07-19,2
